customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
0296-OQXGP,0,28,24.75,3554.6,Female,No,No,Yes,Yes,No,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,No
2841-ZDCGL,0,1,65.2,521.9,Male,No,No,No,Yes,DSL,No internet service,No,No,Yes,No internet service,No,One year,No,Mailed check,No
5221-SOJOF,0,16,94.65,1367.75,Female,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes
7555-QLCRA,1,48,24.35,3616.25,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,No
9261-HMUWZ,0,1,25.4,2448.5,Male,Yes,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,Yes
7713-WZRNS,0,10,83.75,4391.45,Female,No,No,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,No
8881-OQQTR,0,3,19.85,158.95,Female,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),Yes
1331-FJHCE,0,40,105.0,1130.85,Male,Yes,Yes,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,No
6589-OVHVF,0,37,72.9,2122.45,Female,No,No,No,No phone service,No,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,Yes
8777-HAXBG,0,18,19.4,407.05,Female,Yes,No,No,No phone service,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,No
7309-PVXVE,0,22,105.75,6562.9,Male,No,No,No,Yes,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),No
6812-KADGH,0,72,19.85,45.05,Male,Yes,No,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Electronic check,No
0774-TQHVA,1,5,51.35,99.95,Male,No,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,No
9212-IBWXH,0,26,90.8,89.55,Female,Yes,No,Yes,No,DSL,No internet service,Yes,No,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),No
8415-JBGDK,0,1,19.8,5812.6,Female,Yes,No,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),No
2960-BEKPG,0,22,20.05,485.9,Male,Yes,No,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),Yes
3715-IRLBP,1,13,89.55,2302.35,Male,Yes,No,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,Yes
5664-VCHKJ,0,27,20.0,3549.25,Female,Yes,No,No,Yes,DSL,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),No
6760-ZTRIV,0,56,75.7,326.65,Male,No,No,Yes,No,No,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),No
1851-LBEZQ,1,19,96.4,470.0,Male,Yes,Yes,Yes,No phone service,DSL,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,No
8945-KKEHH,0,9,99.25,6474.4,Female,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),No
8445-HXPGL,0,1,45.7,573.75,Male,Yes,No,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),No
5180-LFBEL,0,58,19.8,101.45,Male,No,No,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,No
0357-MMGGY,1,4,69.15,720.05,Male,Yes,No,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,No,Two year,No,Bank transfer (automatic),Yes
3695-YJUYE,1,23,19.15,370.25,Male,Yes,No,Yes,Yes,DSL,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),No
2313-NGOBM,0,26,24.6,3942.45,Female,Yes,No,Yes,No phone service,No,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),No
4409-LYLKV,0,43,19.9,3077.0,Female,Yes,Yes,Yes,Yes,DSL,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),No
6980-ZOQPJ,0,72,19.8,970.4,Male,Yes,Yes,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),Yes
5258-MUKDF,0,62,24.8,4520.15,Female,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No
8302-FAEOG,1,7,109.5,1295.4,Female,Yes,No,Yes,No,DSL,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),No
0561-BSNQS,0,37,65.5,1442.6,Female,Yes,No,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),No
0515-ZZXCM,0,22,105.85,3754.6,Female,No,No,Yes,No,No,Yes,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),Yes
3956-ZXURK,0,61,76.85,224.05,Male,No,No,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,No
6000-APWRT,0,68,74.9,4230.25,Female,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,No
9796-GJMBB,0,1,99.75,1125.6,Male,Yes,No,No,Yes,DSL,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,No
5621-XHIIF,0,36,39.95,2094.65,Female,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,No
5837-IJBNZ,0,10,107.95,1830.05,Male,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),No
0933-LGYUM,0,2,19.85,135.75,Male,No,No,Yes,No,DSL,No,No internet service,Yes,No,Yes,No,One year,No,Bank transfer (automatic),No
2927-RSNLE,0,65,38.8,1496.9,Female,No,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),No
9549-MVWBA,0,4,79.0,7051.95,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,No
6239-NLXSG,0,49,70.3,1346.2,Female,No,No,Yes,Yes,DSL,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,No
2616-YCUFB,0,51,80.75,369.25,Male,Yes,No,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,One year,No,Credit card (automatic),No
5920-JVZCJ,0,35,55.3,2723.4,Male,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),No
9304-EFYJI,0,31,103.0,1389.6,Female,Yes,No,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,No
7804-VLDPY,0,62,24.6,3327.05,Female,Yes,No,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Two year,No,Mailed check,No
4286-AJIKB,0,66,105.0,305.1,Male,No,Yes,Yes,No,DSL,No,No,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),Yes
0392-IEJMB,0,51,108.1,4549.45,Male,No,No,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No internet service,Two year,Yes,Mailed check,No
8775-XWPBP,0,1,20.35,2570.2,Male,No,No,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),No
7574-WUOUH,1,67,40.75,302.45,Female,Yes,No,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Two year,Yes,Mailed check,No
3837-PQCVG,1,72,73.25,1743.05,Male,No,Yes,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),No
9018-HPAHF,0,15,95.2,4146.05,Female,No,Yes,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,No
8519-NEHXY,0,26,51.05,2070.75,Female,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,Yes
8422-DVSTD,1,20,45.75,1240.15,Male,No,No,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,No
4541-CJZJO,0,8,44.95,70.15,Male,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Electronic check,No
1172-TAPYR,0,47,89.05,4616.1,Female,Yes,No,Yes,No,DSL,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,No
6155-WQDYH,1,70,19.5,2548.55,Male,No,No,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No,Two year,Yes,Credit card (automatic),No
1684-NXGQQ,0,49,54.9,3886.45,Female,No,No,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,No,One year,No,Mailed check,Yes
4402-YWXRG,0,7,83.85,331.6,Male,No,Yes,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,No,One year,Yes,Mailed check,No
0148-SJUCR,0,9,80.85,5295.7,Female,Yes,No,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No,Two year,Yes,Electronic check,No
1192-LHMPE,0,20,70.2,5031.85,Female,Yes,No,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,No,Two year,No,Electronic check,No
8070-ELVDC,0,12,73.6,20.45,Male,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,No
0249-UIJCF,0,35,20.1,306.6,Male,Yes,No,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,No
4320-YCCDW,0,5,60.3,5481.25,Female,Yes,No,Yes,No phone service,No,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,No
7909-CQALI,1,35,19.8,288.05,Female,Yes,No,Yes,No phone service,No,No,No,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,No
2475-LXUAF,0,2,50.95,639.65,Female,Yes,No,Yes,No,DSL,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,No
0817-FHASV,0,72,20.2,2407.3,Male,No,No,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,One year,Yes,Bank transfer (automatic),No
7417-XSJJL,0,3,89.4,914.4,Female,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),No
8754-JAGFP,0,2,23.75,717.95,Male,No,Yes,Yes,No,Fiber optic,No,No,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,Yes
5401-CDERA,0,18,84.2,1169.35,Male,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),No
1108-PCJAC,0,57,71.1,2633.95,Female,No,No,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,No,No internet service,Two year,Yes,Mailed check,No
0098-NTHFY,0,56,20.1,2510.7,Male,Yes,No,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No
0880-NJJVI,0,7,96.85,1413.0,Male,No,No,Yes,No,DSL,No,No internet service,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),Yes
4199-SFFKI,1,21,19.9,1008.7,Male,Yes,No,No,No,Fiber optic,No,No,No internet service,Yes,No internet service,No,One year,No,Bank transfer (automatic),Yes
8136-CGPYB,0,53,103.75,854.9,Female,No,Yes,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No,Two year,No,Electronic check,No
2518-WLHLP,0,69,69.65,2178.6,Male,No,No,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),Yes
0108-RECLG,1,27,19.1,3540.65,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,No
0282-ZOWMR,0,10,53.95,1229.1,Female,Yes,No,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),No
5400-EDSFR,0,55,60.15,1423.65,Male,Yes,No,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),No
0928-CDGQQ,0,20,20.25,331.6,Female,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes
8811-FQPYJ,0,25,99.7,6733.0,Female,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,No
8532-QJBYZ,0,61,51.1,6201.95,Male,No,Yes,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,No
2128-CESBE,0,69,55.55,1601.2,Female,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,No
4929-MLZHK,1,7,19.55,1304.8,Female,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,No
3307-RBSMR,0,70,64.15,5873.75,Female,Yes,Yes,Yes,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No,One year,No,Bank transfer (automatic),Yes
9855-ZUCQH,0,1,105.85,718.55,Male,Yes,No,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,No
7564-NRGNX,0,71,94.0,4687.9,Female,Yes,No,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No,No internet service,One year,No,Electronic check,No
3028-DGJSM,0,35,60.0,104.2,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),No
8428-TSBKX,0,70,59.5,770.5,Male,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),No
3081-POJIO,0,51,78.85,5528.9,Female,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,Yes,Two year,Yes,Mailed check,No
6269-ZMSSS,0,68,103.3,24.05,Male,No,No,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,Yes
5108-DZUBE,0,64,94.55,3358.65,Female,No,Yes,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),Yes
4221-IOXIK,0,65,79.6,266.8,Female,No,No,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,No
0251-MRCED,0,50,48.15,257.05,Female,No,No,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),No
1228-LSDZU,0,15,39.85,552.95,Female,Yes,Yes,Yes,Yes,DSL,No,No internet service,Yes,Yes,No internet service,Yes,Two year,Yes,Mailed check,No
8856-ILYDJ,0,29,114.55,4837.6,Male,Yes,Yes,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No,No,Two year,Yes,Mailed check,No
9115-MYZXE,0,1,19.55,5317.8,Female,Yes,No,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Two year,No,Credit card (automatic),No
6330-UQSEW,0,15,108.95,90.1,Male,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),Yes
4315-XAOVB,0,34,94.9,3923.8,Female,Yes,No,Yes,No,No,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,No
7862-DEOYY,0,31,59.0,1230.25,Female,No,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),No
8347-WAAFN,0,10,20.9,173.0,Male,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,No
5893-VVNHU,0,13,20.3,146.9,Female,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,No
3372-BORQO,1,72,108.0,393.15,Male,Yes,No,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,No
0082-RMBAV,1,42,87.25,78.65,Male,No,No,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,No
7025-EGFAX,0,29,69.5,4056.75,Male,No,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,Yes
3164-QFYUV,0,39,101.9,958.15,Male,Yes,No,Yes,No phone service,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,No
3702-IDOPI,0,15,61.4,5153.5,Female,No,No,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,Yes
2259-QYAMT,1,50,75.95,1051.9,Female,Yes,Yes,Yes,No,DSL,No,No,No,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),Yes
1407-HDFSA,0,34,108.1,935.9,Female,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),No
4744-WFQFX,0,20,64.3,5278.15,Male,Yes,Yes,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,One year,Yes,Electronic check,No
1075-PVTHS,1,22,44.8,429.55,Male,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Credit card (automatic),Yes
9263-HMFGH,0,70,49.95,5629.15,Male,No,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Electronic check,No
3710-EYQQM,0,36,57.55,195.05,Female,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,Yes
2155-KBCHW,0,38,19.5,4508.65,Male,No,No,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,Yes,Electronic check,Yes
4069-NNZVP,0,8,80.35,795.65,Female,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,No
7314-FWRDI,0,1,19.25,1092.35,Male,Yes,No,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,Yes
8247-DGJJS,0,17,20.05,242.05,Female,No,Yes,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,No
4075-HDVJY,0,46,86.1,279.55,Female,Yes,Yes,No,No,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),No
4163-XRCVD,0,20,99.8,3121.45,Female,Yes,No,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes
6316-PGFSG,0,1,56.3,2415.95,Female,No,No,Yes,Yes,DSL,No internet service,No,No internet service,No,No internet service,No,One year,No,Bank transfer (automatic),Yes
3468-FFWGV,1,70,20.1,2640.55,Female,No,No,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),No
2450-OWVFF,0,46,20.0,7133.25,Female,Yes,No,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),Yes
1690-IPSHP,0,12,74.7,5483.9,Male,Yes,No,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,One year,Yes,Electronic check,Yes
1921-WLCIO,0,68,75.35,2983.65,Female,No,No,Yes,No,No,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),No
6682-QNHUM,0,29,20.6,5567.55,Male,No,No,Yes,Yes,DSL,No internet service,Yes,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),No
1009-VRXJR,0,47,70.05,2021.35,Female,No,Yes,Yes,Yes,DSL,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,No
2312-QAWDW,0,19,39.9,1533.8,Male,No,No,No,Yes,No,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,No
9822-NMIDX,0,19,20.35,24.45,Female,Yes,No,Yes,No,No,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,No
6200-GFEBU,0,56,71.1,4523.25,Female,Yes,No,Yes,No phone service,No,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,Yes
7315-FAWOC,1,67,79.65,1712.7,Female,No,Yes,Yes,Yes,No,No internet service,No,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),Yes
4815-VGBCX,1,59,20.65,2669.45,Female,Yes,No,Yes,Yes,No,No internet service,Yes,Yes,No internet service,No,No,One year,No,Credit card (automatic),No
8367-FSCBH,0,22,100.85,600.15,Male,Yes,No,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),Yes
3100-AQSPP,0,60,60.85,167.2,Male,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,No
0501-XIBIK,1,31,83.2,2337.45,Male,No,Yes,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,No
9220-RXFEO,0,59,19.4,3085.35,Female,Yes,Yes,Yes,No,DSL,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,No
6905-JXLZN,0,24,91.15,7748.75,Male,No,No,Yes,Yes,No,No internet service,No,No,Yes,No,No,Month-to-month,No,Electronic check,No
2787-WXCJJ,0,54,94.2,187.35,Female,No,No,Yes,Yes,No,No internet service,No,Yes,No,No,No,Month-to-month,No,Mailed check,Yes
0609-VCBVL,0,33,86.05,507.9,Male,Yes,No,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),Yes
7053-PHYRJ,0,1,74.35,220.8,Female,No,No,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No internet service,One year,No,Mailed check,No
1422-HLZBX,0,4,19.45,1460.65,Male,No,No,Yes,No phone service,No,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No
9631-QIBXA,1,7,58.85,673.25,Male,Yes,No,No,No,DSL,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,No
1355-DFCJF,1,57,71.0,42.7,Male,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,No
0523-OCYSY,0,12,29.85,903.8,Male,Yes,Yes,Yes,No,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No
6083-UGDRO,0,15,20.5,324.15,Male,No,No,No,Yes,DSL,No,Yes,No,No internet service,No,No,Month-to-month,No,Mailed check,Yes
3785-ZPESO,0,1,95.9,2193.65,Male,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,Yes,One year,No,Electronic check,No
6960-WKOYE,0,38,25.45,156.25,Male,Yes,Yes,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,No
